sampno,perid,y,ann_mile,tnc_veh,delivery,county,region,hh_veh,hh_size,hh_emp,charge_work,elec_acc,housing,hh_inc,gender,employ,stu,hh_drv,drive_freq,race
190066,190066.p01,0,5000.0,2,2,30,2,1,1,1,,10,6,1.0,1,2.0,3.0,1,1,6.0
190065,190065.p02,0,5000.0,2,2,19,2,2,2,2,,,2,3.0,1,1.0,3.0,2,1,3.0
190065,190065.p01,0,7000.0,2,2,19,2,2,2,2,,,2,3.0,2,1.0,3.0,2,1,3.0
190078,190078.p01,0,10000.0,2,2,56,2,2,2,2,,3,3,1.0,2,2.0,3.0,2,1,6.0
190078,190078.p02,0,12000.0,2,2,56,2,2,2,2,,3,3,1.0,1,1.0,3.0,2,1,6.0
190067,190067.p01,0,10000.0,2,2,30,2,1,3,3,,,1,2.0,2,2.0,3.0,3,2,6.0
190077,190077.p01,0,5000.0,2,2,56,2,1,1,1,,,5,2.0,1,2.0,3.0,1,1,6.0
190076,190076.p01,0,1000.0,2,2,12,3,3,2,1,2,6,6,1.0,2,1.0,3.0,1,1,2.0
190076,190076.p01,0,29000.0,2,2,12,3,3,2,1,2,6,6,1.0,2,1.0,3.0,1,1,2.0
190076,190076.p01,0,6000.0,2,2,12,3,3,2,1,2,6,6,1.0,2,1.0,3.0,1,1,2.0
190083,190083.p01,0,15900.0,2,2,19,2,2,4,3,2,6,6,1.0,2,1.0,3.0,2,1,6.0
190083,190083.p02,0,20000.0,2,2,19,2,2,4,3,2,6,6,1.0,1,1.0,3.0,2,1,6.0
190087,190087.p01,0,6000.0,2,2,38,5,1,1,1,2,10,5,3.0,2,1.0,3.0,1,2,6.0
190080,190080.p02,0,23500.0,2,2,43,5,2,2,2,,10,1,5.0,1,2.0,3.0,2,1,6.0
190080,190080.p01,0,30000.0,2,2,43,5,2,2,2,,10,1,5.0,2,2.0,3.0,2,1,6.0
190092,190092.p01,0,4000.0,2,2,19,2,1,1,1,,10,6,3.0,1,1.0,3.0,1,1,6.0
190096,190096.p01,0,4000.0,2,2,19,2,1,2,2,,,1,2.0,2,2.0,3.0,1,2,6.0
190093,190093.p01,0,5000.0,2,2,15,1,2,2,2,,1,1,4.0,2,2.0,3.0,2,2,6.0
190093,190093.p02,0,10000.0,2,2,15,1,2,2,2,,1,1,4.0,1,2.0,3.0,2,2,6.0
190091,190091.p02,0,9000.0,2,2,19,2,3,4,4,2,1,1,2.0,1,2.0,3.0,3,1,4.0
190091,190091.p01,0,5000.0,2,2,19,2,3,4,4,2,1,1,2.0,2,1.0,3.0,3,1,4.0
190091,190091.p01,0,1000.0,2,2,19,2,3,4,4,2,1,1,2.0,2,1.0,3.0,3,1,4.0
190094,190094.p01,0,5000.0,2,2,24,1,2,2,2,,1,1,1.0,2,2.0,3.0,2,2,6.0
190094,190094.p02,0,3000.0,2,2,24,1,2,2,2,,1,1,1.0,1,2.0,3.0,2,1,6.0
190105,190105.p01,0,5000.0,2,2,19,2,5,2,2,,1,1,2.0,2,2.0,3.0,2,2,6.0
190105,190105.p01,0,1500.0,2,2,19,2,5,2,2,,1,1,2.0,2,2.0,3.0,2,2,6.0
190105,190105.p02,0,8000.0,2,2,19,2,5,2,2,,1,1,2.0,1,2.0,3.0,2,1,6.0
190105,190105.p02,0,7000.0,2,2,19,2,5,2,2,,1,1,2.0,1,2.0,3.0,2,1,6.0
190105,190105.p02,0,1000.0,2,2,19,2,5,2,2,,1,1,2.0,1,2.0,3.0,2,1,6.0
190101,190101.p02,0,14400.0,2,2,20,1,2,2,2,,10,6,2.0,1,1.0,3.0,2,1,6.0
190101,190101.p01,0,3000.0,2,2,20,1,2,2,2,,10,6,2.0,2,2.0,3.0,2,1,6.0
190102,190102.p01,0,10000.0,2,2,19,2,1,1,1,1,1,1,2.0,2,1.0,3.0,1,1,3.0
190109,190109.p02,0,2000.0,2,2,41,5,4,3,3,,4,1,3.0,2,1.0,3.0,3,1,3.0
190109,190109.p03,0,10000.0,2,2,41,5,4,3,3,,4,1,3.0,2,2.0,3.0,3,1,3.0
190109,190109.p01,0,2000.0,2,2,41,5,4,3,3,,4,1,3.0,1,1.0,3.0,3,1,3.0
190109,190109.p01,0,10000.0,2,2,41,5,4,3,3,,4,1,3.0,1,1.0,3.0,3,1,3.0
190111,190111.p03,0,8000.0,2,2,1,5,3,4,3,,,1,4.0,2,2.0,1.0,3,1,6.0
190111,190111.p02,0,8000.0,2,2,1,5,3,4,3,,,1,4.0,2,2.0,3.0,3,1,6.0
190111,190111.p01,1,9000.0,2,2,1,5,3,4,3,,,1,4.0,1,1.0,3.0,3,1,6.0
190112,190112.p01,0,8000.0,2,2,15,1,2,1,1,2,1,1,1.0,1,1.0,3.0,1,1,6.0
190112,190112.p01,0,4000.0,2,2,15,1,2,1,1,2,1,1,1.0,1,1.0,3.0,1,1,6.0
190114,190114.p01,0,9000.0,2,2,30,2,1,1,1,,10,5,1.0,2,2.0,3.0,1,2,6.0
190115,190115.p02,0,10000.0,2,2,33,2,1,4,2,,10,6,2.0,2,1.0,3.0,2,1,6.0
190116,190116.p01,0,6000.0,2,2,13,2,2,2,2,2,1,1,4.0,1,1.0,3.0,2,1,6.0
190116,190116.p02,0,10000.0,2,2,13,2,2,2,2,2,1,1,4.0,2,1.0,3.0,2,1,3.0
190120,190120.p02,0,5000.0,2,2,43,5,2,3,2,,,5,4.0,2,1.0,3.0,2,1,3.0
190120,190120.p01,1,8000.0,2,2,43,5,2,3,2,,,5,4.0,1,1.0,3.0,2,1,3.0
190123,190123.p02,0,5500.0,2,2,30,2,3,3,3,2,2,2,3.0,2,1.0,3.0,3,1,3.0
190123,190123.p01,0,7000.0,2,2,30,2,3,3,3,2,2,2,3.0,1,1.0,3.0,3,1,6.0
190123,190123.p03,0,3000.0,2,2,30,2,3,3,3,2,2,2,3.0,1,1.0,1.0,3,1,6.0
190124,190124.p01,0,7000.0,2,2,39,1,3,2,2,1,1,1,2.0,1,1.0,3.0,2,1,1.0
190124,190124.p01,0,15000.0,2,2,39,1,3,2,2,1,1,1,2.0,1,1.0,3.0,2,1,1.0
190124,190124.p02,0,10000.0,2,2,39,1,3,2,2,1,1,1,2.0,2,1.0,3.0,2,1,1.0
190125,190125.p02,1,10000.0,2,2,30,2,3,4,3,,,1,4.0,2,2.0,3.0,2,1,3.0
190125,190125.p02,0,5000.0,2,2,30,2,3,4,3,,,1,4.0,2,2.0,3.0,2,1,3.0
190125,190125.p01,1,10000.0,2,2,30,2,3,4,3,,,1,4.0,1,1.0,3.0,2,1,3.0
190129,190129.p02,0,10000.0,2,2,19,2,4,2,2,2,4,1,2.0,2,1.0,3.0,2,1,1.0
190129,190129.p01,0,5000.0,2,2,19,2,4,2,2,2,4,1,2.0,1,1.0,3.0,2,1,1.0
190129,190129.p01,0,5000.0,2,2,19,2,4,2,2,2,4,1,2.0,1,1.0,3.0,2,1,1.0
190129,190129.p01,0,5000.0,2,2,19,2,4,2,2,2,4,1,2.0,1,1.0,3.0,2,1,1.0
190131,190131.p01,0,10000.0,2,2,56,2,1,3,1,1,2,5,3.0,1,1.0,3.0,1,2,6.0
190133,190133.p01,1,9000.0,2,2,19,2,3,3,3,,1,1,4.0,1,2.0,3.0,3,1,3.0
190133,190133.p02,0,8000.0,2,2,19,2,3,3,3,,1,1,4.0,2,2.0,3.0,3,1,3.0
190133,190133.p03,0,10000.0,2,2,19,2,3,3,3,,1,1,4.0,1,2.0,3.0,3,1,3.0
190135,190135.p01,0,12000.0,2,2,30,2,2,2,2,,1,2,3.0,1,2.0,3.0,2,1,1.0
190135,190135.p01,0,1200.0,2,2,30,2,2,2,2,,1,2,3.0,1,2.0,3.0,2,1,1.0
190136,190136.p02,0,8000.0,2,2,38,5,2,2,2,1,1,1,6.0,1,2.0,1.0,2,1,6.0
190136,190136.p01,0,8000.0,2,2,38,5,2,2,2,1,1,1,6.0,2,1.0,3.0,2,2,6.0
190140,190140.p01,1,12000.0,2,2,41,5,3,4,2,,,1,6.0,1,1.0,3.0,2,1,6.0
190140,190140.p02,0,15000.0,2,2,41,5,3,4,2,,,1,6.0,2,1.0,3.0,2,1,6.0
190140,190140.p02,1,6000.0,2,2,41,5,3,4,2,,,1,6.0,2,1.0,3.0,2,1,6.0
190141,190141.p01,0,2000.0,2,2,19,2,2,2,2,,6,6,4.0,1,2.0,3.0,2,2,6.0
190141,190141.p02,0,6000.0,2,2,19,2,2,2,2,,6,6,4.0,2,1.0,3.0,2,2,6.0
190144,190144.p01,0,13000.0,2,2,33,2,3,3,2,,1,1,3.0,2,1.0,3.0,2,4,6.0
190144,190144.p01,0,4500.0,2,2,33,2,3,3,2,,1,1,3.0,2,1.0,3.0,2,4,6.0
190144,190144.p02,0,7000.0,2,2,33,2,3,3,2,,1,1,3.0,1,1.0,3.0,2,1,6.0
190146,190146.p01,1,16000.0,2,2,21,5,2,2,2,1,1,1,5.0,2,1.0,3.0,2,1,6.0
190146,190146.p02,0,20000.0,2,2,21,5,2,2,2,1,1,1,5.0,1,1.0,3.0,2,1,6.0
190148,190148.p01,0,20000.0,2,2,19,2,1,3,3,2,2,1,2.0,2,1.0,2.0,3,1,6.0
190150,190150.p02,0,2000.0,2,2,1,5,2,3,2,2,6,6,2.0,1,1.0,3.0,2,3,4.0
190150,190150.p01,0,2000.0,2,2,1,5,2,3,2,2,6,6,2.0,2,1.0,3.0,2,1,6.0
190152,190152.p02,0,150000.0,2,2,30,2,3,2,2,,1,1,5.0,2,1.0,3.0,2,1,5.0
190152,190152.p01,1,20000.0,2,2,30,2,3,2,2,,1,1,5.0,1,1.0,3.0,2,1,6.0
190152,190152.p01,0,5000.0,2,2,30,2,3,2,2,,1,1,5.0,1,1.0,3.0,2,1,6.0
190153,190153.p02,0,5000.0,2,2,30,2,3,2,2,,,1,,1,1.0,3.0,2,1,
190153,190153.p02,0,12000.0,2,2,30,2,3,2,2,,,1,,1,1.0,3.0,2,1,
190153,190153.p01,1,5000.0,2,2,30,2,3,2,2,,,1,,1,1.0,3.0,2,1,
190157,190157.p02,0,40000.0,2,2,1,5,2,2,2,,1,1,2.0,2,1.0,3.0,2,1,3.0
190157,190157.p01,0,75000.0,2,2,1,5,2,2,2,,1,1,2.0,1,1.0,3.0,2,1,6.0
190158,190158.p01,0,12000.0,2,2,7,5,2,2,2,,1,1,4.0,2,1.0,3.0,2,2,
190158,190158.p02,0,15000.0,2,2,7,5,2,2,2,,1,1,4.0,1,1.0,3.0,2,1,
190160,190160.p03,0,30000.0,2,2,30,2,3,3,3,,3,2,3.0,1,1.0,3.0,3,1,3.0
190160,190160.p02,0,50000.0,2,2,30,2,3,3,3,,3,2,3.0,2,1.0,3.0,3,1,3.0
190160,190160.p01,0,500.0,2,2,30,2,3,3,3,,3,2,3.0,2,1.0,3.0,3,2,3.0
190162,190162.p01,1,6000.0,2,2,43,5,1,2,2,1,1,4,6.0,2,1.0,3.0,2,1,6.0
190164,190164.p01,0,5000.0,2,2,34,6,3,2,2,,1,1,3.0,1,2.0,3.0,2,1,6.0
190164,190164.p01,0,1000.0,2,2,34,6,3,2,2,,1,1,3.0,1,2.0,3.0,2,1,6.0
190164,190164.p02,0,2000.0,2,2,34,6,3,2,2,,1,1,3.0,1,1.0,3.0,2,2,6.0
190167,190167.p02,0,9000.0,2,2,9,6,4,3,3,,,1,4.0,2,2.0,3.0,3,1,4.0
190167,190167.p01,0,5000.0,2,2,9,6,4,3,3,,,1,4.0,1,1.0,3.0,3,1,6.0
190167,190167.p01,0,,,,9,6,4,3,3,,,1,4.0,1,1.0,3.0,3,1,6.0
190167,190167.p01,1,4000.0,2,2,9,6,4,3,3,,,1,4.0,1,1.0,3.0,3,1,6.0
190172,190172.p01,0,500.0,2,2,57,6,2,1,1,2,1,1,3.0,1,1.0,3.0,1,1,6.0
190172,190172.p01,1,20000.0,2,2,57,6,2,1,1,2,1,1,3.0,1,1.0,3.0,1,1,6.0
190174,190174.p01,1,12000.0,2,2,19,2,3,2,2,2,1,1,4.0,2,1.0,3.0,2,1,3.0
190174,190174.p02,0,12000.0,2,2,19,2,3,2,2,2,1,1,4.0,1,1.0,3.0,2,2,3.0
190174,190174.p02,0,10000.0,2,2,19,2,3,2,2,2,1,1,4.0,1,1.0,3.0,2,2,3.0
190175,190175.p02,0,10000.0,2,2,19,2,3,2,2,2,4,1,2.0,1,1.0,3.0,2,1,1.0
190175,190175.p01,1,12000.0,2,2,19,2,3,2,2,2,4,1,2.0,2,1.0,3.0,2,1,1.0
190175,190175.p01,0,15000.0,2,2,19,2,3,2,2,2,4,1,2.0,2,1.0,3.0,2,1,1.0
190178,190178.p02,0,10000.0,2,2,37,4,2,2,2,,,5,,1,1.0,3.0,2,2,6.0
190178,190178.p01,1,6000.0,2,2,37,4,2,2,2,,,5,,2,2.0,3.0,2,2,6.0
190179,190179.p01,0,2000.0,2,2,56,2,2,2,2,,1,1,3.0,2,2.0,3.0,2,2,6.0
190179,190179.p02,0,5000.0,2,2,56,2,2,2,2,,1,1,3.0,1,2.0,3.0,2,2,6.0
190184,190184.p01,0,15000.0,2,2,44,3,2,2,2,1,1,1,5.0,1,1.0,3.0,2,1,6.0
190184,190184.p02,1,12000.0,2,2,44,3,2,2,2,1,1,1,5.0,2,1.0,3.0,2,1,6.0
190189,190189.p01,0,10000.0,2,2,30,2,3,7,6,,1,1,5.0,2,1.0,3.0,5,1,1.0
190189,190189.p01,1,12000.0,2,2,30,2,3,7,6,,1,1,5.0,2,1.0,3.0,5,1,1.0
190189,190189.p02,0,3000.0,2,2,30,2,3,7,6,,1,1,5.0,1,1.0,3.0,5,2,3.0
190186,190186.p01,0,3000.0,2,2,1,5,1,2,2,1,10,6,,4,1.0,3.0,2,1,
190188,190188.p01,0,6500.0,2,2,19,2,3,2,2,2,3,6,2.0,1,1.0,3.0,1,1,1.0
