sampno,vehno,vehicle_num,num_hh_vehicles,year,make,make_other,make_clean,model,model_other,model_clean,fuel,fuel_clean,veh_type,veh_type_clean,vehicle_status,flag_hev,flag_phev,flag_fcev,flag_bev,obtain,company_car,current_acquired_year,current_acquired_month,annual_mileage,electric_percent,tnc_veh,tnc_miles,delivery,delivery_miles,mpg,replace_intent,current_primary_driver,primary_driver_id,company_acquired_year,fuel_pay,personal_miles,business_miles,company_primary_driver,company_primary_driver_id,other_drivers,behavior_1,behavior_2,behavior_3,behavior_4,behavior_5
190064,1,1,2,2018,HONDA, ,HONDA,,,,1,1,2,2, ,0,0,0,0,1, ,2018,1,1200, ,2, ,2, ,30,4,1,190064.p01, , , , , , , , , , , , 
190066,1,1,1,2007,HYUNDAI, ,HYUNDAI,,,,1,1,4,4, ,0,0,0,0,1, ,2006, ,5000, ,2, ,2, ,15,6,1,190066.p01, , , , , , , , , , , , 
190065,2,2,2,2009,HONDA, ,HONDA,,,,1,1,2,2, ,0,0,0,0,1, ,2009, ,5000, ,2, ,2, ,25,2,2,190065.p02, , , , , , , , , , , , 
190078,1,1,2,2003,HONDA, ,HONDA,,,,1,1,6,6, ,0,0,0,0,3, ,2018,8,10000, ,2, ,2, ,24,3,1,190078.p01, , , , , , , , , , , , 
190067,1,1,1,2016,KIA, ,KIA,,,,1,1,7,7, ,0,0,0,0,1, ,2016, ,10000, ,2, ,2, ,25,4,1,190067.p01, , , , , , , , , , , , 
190077,1,1,1,2009,HONDA, ,HONDA,,,,1,1,3,3, ,0,0,0,0,1, ,2009, ,5000, ,2, ,2, ,25,4,1,190077.p01, , , , , , , , , , , , 
190076,2,2,3,2013,Other,Yamaha,YAMAHA,,,,1,1,5,5,4,0,0,0,0,4, ,2018,7,1000, ,2, ,2, ,34,6,1,190076.p01, , , , , , , , , , , , 
190083,2,2,2,2012,TOYOTA, ,TOYOTA,,,,1,1,3,3, ,0,0,0,0,1, ,2012, ,15900, ,2, ,2, ,10,5,1,190083.p01, , , , , , , , , , , , 
190087,1,1,1,2004,NISSAN, ,NISSAN,,,,1,1,1,1, ,0,0,0,0,1, ,2003, ,6000, ,2, ,2, ,32,2,1,190087.p01, , , , , , , , , , , , 
190080,2,2,2,2011,FORD, ,FORD,,,,1,1,3,3, ,0,0,0,0,1, ,2011, ,23500, ,2, ,2, ,28,2,2,190080.p02, , , , , , , , , , , , 
190092,1,1,1,2015,HONDA, ,HONDA,,,,1,1,2,2, ,0,0,0,0,2, ,2015, ,4000, ,2, ,2, ,16,3,1,190092.p01, , , , , , , , , , , , 
190096,1,1,1,2015,HONDA, ,HONDA,,,,1,1,8,8, ,0,0,0,0,1, ,2015, ,4000, ,2, ,2, ,30,6,1,190096.p01, , , , , , , , , , , , 
190093,1,1,2,2017,INFINITI, ,INFINITI,,,,1,1,1,1, ,0,0,0,0,1, ,2017, ,5000, ,2, ,2, ,28,4,1,190093.p01, , , , , , , , , , , , 
190091,2,2,3,2009,CHEVROLET, ,CHEVROLET,,,,1,1,13,13, ,0,0,0,0,1, ,2007, ,9000, ,2, ,2, ,20,6,2,190091.p02, , , , , , , , , , , , 
190094,2,2,2,2006,CHEVROLET, ,CHEVROLET,,,,8,8,3,3, ,0,0,0,0,1, ,2006, ,5000, ,2, ,2, ,18,4,1,190094.p01, , , , , , , , , , , , 
190105,1,1,5,2004,JAGUAR, ,JAGUAR,,,,1,1,2,2, ,0,0,0,0,1, ,2004, ,5000, ,2, ,2, ,21,1,1,190105.p01, , , , , , , , , , , , 
190105,4,4,5,1995,DODGE, ,DODGE,,,,4,4,13,13,1,0,0,0,0,1, ,1995, ,8000, ,2, ,2, ,20,6,2,190105.p02, , , , , , , , , , , , 
190101,2,2,2,2007,MAZDA, ,MAZDA,,,,1,1,2,2, ,0,0,0,0,1, ,2006, ,14400, ,2, ,2, ,21,3,2,190101.p02, , , , , , , , , , , , 
190102,1,1,1,2018,TOYOTA, ,TOYOTA,,,,2,2,2,2, ,1,0,0,0,1, ,2018,8,10000, ,2, ,2, ,55,5,1,190102.p01, , , , , , , , , , , , 
190109,1,1,4,2003,CADILLAC, ,CADILLAC,,,,1,1,3,3, ,0,0,0,0,3, ,2006, ,2000, ,2, ,2, ,18,3,2,190109.p02, , , , , , , , , , , , 
190109,4,4,4,2015,INFINITI, ,INFINITI,,,,1,1,3,3, ,0,0,0,0,3, ,2017, ,10000, ,2, ,2, ,25,3,3,190109.p03, , , , , , , , , , , , 
190111,2,2,3,2009,HONDA, ,HONDA,,,,1,1,2,2, ,0,0,0,0,1, ,2008, ,8000, ,2, ,2, ,30,3,3,190111.p03, , , , , , , , , , , , 
190112,2,2,2,2001,DODGE, ,DODGE,,,,8,8,12,12, ,0,0,0,0,1, ,2001, ,8000, ,2, ,2, ,15,5,1,190112.p01, , , , , , , , , , , , 
190114,1,1,1,2012,HYUNDAI, ,HYUNDAI,,,,1,1,3,3, ,0,0,0,0,1, ,2011, ,9000, ,2, ,2, ,32,3,1,190114.p01, , , , , , , , , , , , 
190115,1,1,1,2016,NISSAN, ,NISSAN,,,,1,1,2,2, ,0,0,0,0,1, ,2015, ,10000, ,2, ,2, ,30,2,2,190115.p02, , , , , , , , , , , , 
190116,2,2,2,2017,NISSAN, ,NISSAN,,,,1,1,12,12, ,0,0,0,0,3, ,2016, ,6000, ,2, ,2, ,20,4,1,190116.p01, , , , , , , , , , , , 
190120,1,1,2,2014,TOYOTA, ,TOYOTA,,,,2,2,3,3, ,1,0,0,0,1, ,2013, ,5000, ,2, ,2, ,40,4,2,190120.p02, , , , , , , , , , , , 
190123,2,2,3,2012,TOYOTA, ,TOYOTA,,,,2,2,2,2, ,1,0,0,0,1, ,2012, ,5500, ,2, ,2, ,50,3,2,190123.p02, , , , , , , , , , , , 
190124,3,3,3,2002,CHEVROLET, ,CHEVROLET,,,,1,1,5,5, ,0,0,0,0,3, ,2005, ,7000, ,2, ,2, ,25,7,1,190124.p01, , , , , , , , , , , , 
190125,1,1,3,2017,TOYOTA, ,TOYOTA,,,,6,6,1,1, ,0,0,1,0,1, ,2016, ,10000, ,2, ,2, ,114,3,2,190125.p02, , , , , , , , , , , , 
190129,1,1,4,2018,KIA, ,KIA,,,,1,1,3,3, ,0,0,0,0,1, ,2018,4,10000, ,2, ,2, ,24,4,2,190129.p02, , , , , , , , , , , , 
190129,4,4,4,1997,CHEVROLET, ,CHEVROLET,,,,1,1,12,12, ,0,0,0,0,3, ,2013, ,5000, ,2, ,2, ,15,2,1,190129.p01, , , , , , , , , , , , 
190131,1,1,1,2008,MERCURY, ,MERCURY,,,,2,2,6,6, ,1,0,0,0,3, ,2010, ,10000, ,2, ,2, ,26,3,1,190131.p01, , , , , , , , , , , , 
190133,3,3,3,2017,TOYOTA, ,TOYOTA,,,,6,6,1,1, ,0,0,1,0,2, ,2017, ,9000, ,2, ,2, ,50,3,1,190133.p01, , , , , , , , , , , , 
190135,1,1,2,2015,LEXUS, ,LEXUS,,,,2,2,3,3, ,1,0,0,0,1, ,2015, ,12000, ,2, ,2, ,35,4,1,190135.p01, , , , , , , , , , , , 
190136,2,2,2,2005,HONDA, ,HONDA,,,,1,1,2,2, ,0,0,0,0,3, ,2013, ,8000, ,2, ,2, ,25,2,2,190136.p02, , , , , , , , , , , , 
