sampno,perid,perno,relationship,gender,employment,student,education,license,vehno,vehicle_string,drive_freq,transit_freq,tnc_freq,job_type,work_mode,work_distance,work_days,school_mode,school_distance,ethnicity,race_1,race_2,race_3,race_4,race_5,race_6,race_7,race_6_x
190022,190022.p01,1,8,2,4,4,4,1,190022.v01,,1,0,0, , , , , , ,1,0,0,0,0,0,1,0,Hispanic
190022,190022.p02,2,1,1,1,4,2,1,190022.v01,,1,0,0,1,1,5,5, , ,1,0,0,0,0,0,1,0,Hispanic
190024,190024.p01,1,8,1,1,2,4,1,190024.v01,,1,2,0,2,1,10,5,1,12,1,0,0,0,0,1,0,0, 
190024,190024.p02,2,1,2,2,2,3,2, ,, ,5,2,1,2,8,5,7,12,1,0,0,0,0,1,0,0, 
190029,190029.p01,1,8,1,4,4,5,1,190029.v01,,1,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
190032,190032.p01,1,8,2,4,4,8,1,190032.v01,,1,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
190035,190035.p01,1,8,1,1,4,6,1,190035.v01,,1,0,0,2,1,18,5, , ,2,0,0,0,0,1,0,0, 
190034,190034.p01,1,8,2,4,4,5,1,190034.v01,,2,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
190030,190030.p02,2,1,1,4,4,3,1,190030.v02,,1,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
190033,190033.p01,1,8,1,4,4,4,1,190033.v01,,2,3,0, , , , , , ,2,0,0,0,0,1,0,0, 
190034,190034.p02,2,1,1,2,4,5,1,190034.v01,,2,0,0,1,7,1,3, , ,2,0,0,0,0,1,0,0, 
190031,190031.p02,2,1,1,4,4,6,1,190031.v02,,2,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
190028,190028.p02,2,1,1,5,4,8,1,190028.v02,,1,0,0,3, , , , , ,2,0,0,0,0,1,0,0, 
190037,190037.p01,1,8,1,4,4,4,1,190037.v01,,3,1,0, , , , , , ,2,0,0,0,0,1,0,0, 
190038,190038.p01,1,8,2,4,4,2,1,190038.v02,,2,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
190038,190038.p02,2,1,1,4,4,2,1,190038.v02,,1,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
190037,190037.p02,2,1,2,1,4,8,1,190037.v01,,2,3,0,2,8,7,3, , ,2,0,0,0,0,1,0,0, 
190039,190039.p01,1,8,2,4,4,6,1,190039.v01,,2,4,0, , , , , , ,2,0,0,0,0,1,0,0, 
190043,190043.p01,1,8,2,1,4,8,1,190043.v01,,1,0,0,1,1,13,5, , ,2,0,0,0,0,1,0,0, 
190040,190040.p01,1,8,1,4,4,8,1,190040.v01,,1,0,0, , , , , , ,1,0,0,0,0,1,0,0, 
190046,190046.p02,2,1,2,4,4,6,1,190046.v03,,1,0,0, , , , , , ,2,0,1,0,0,0,0,0, 
190046,190046.p03,3,2,1,2,2,6,1,190046.v02,,1,0,0,2,1,15,2,1,12,2,0,1,0,0,0,0,0, 
190044,190044.p01,1,8,1,4,4,4,1, ,,4,0,3, , , , , , ,1,0,0,0,0,1,0,0, 
190042,190042.p01,1,8,2,4,4,3,1,190042.v01,,1,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
190044,190044.p02,2,1,2,2,4,5,2, ,, ,0,30,1,14,9,5, , ,2,0,0,0,0,1,0,0, 
190045,190045.p01,1,8,2,5,4,2,1,190045.v01,,2,0,0,3, , , , , ,2,0,0,0,0,1,0,0, 
190044,190044.p03,3,2,2,4,4,1,2, ,, ,6,2, , , , , , ,1,0,0,0,0,1,0,0, 
190042,190042.p02,2,1,1,1,4,4,1,190042.v02,,1,0,0,1,1,30,5, , ,2,0,0,0,1,0,1,0,Italian
190045,190045.p02,2,2,2,2,4,2,1,190045.v01,,1,0,0,1,1,18,5, , ,2,0,0,0,0,1,0,0, 
190045,190045.p03,3,5,1,4,4,1,2, ,, ,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
190047,190047.p01,1,8,1,4,4,6,1,190047.v01,,2,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
190048,190048.p01,1,8,2,4,4,8,1,190048.v01,,1,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
190053,190053.p02,2,1,2,1,4,6,1,190053.v01,,1,0,0,1,1,5,5, , ,2,0,0,0,0,1,0,0, 
190056,190056.p01,1,8,1,4,4,6,1,190056.v02,,3,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
190056,190056.p02,2,1,2,4,4,6,1,190056.v01,,3,0,0, , , , , , ,2,0,0,0,0,0,1,0,filpino
190051,190051.p01,1,8,1,2,4,4,1,190051.v01,,1,0,0,2,1,45,3, , ,2,0,1,0,0,0,0,0, 
190058,190058.p01,1,8,2,4,1,4,1,190058.v01,,2,20,0, , , , ,7,20,2,0,1,0,0,0,0,0, 
